geo,geo_name,ict_share_pc_emp,unemp_rate_pc_act,ict_rank,unemp_rank
SE,Sweden,8.6,8.4,1,24.5
LU,Luxembourg,8,6.4,2,17
FI,Finland,7.8,8.4,3,24.5
EE,Estonia,7.2,7.6,4,23
NL,Netherlands,7,3.7,5,5.5
IE,Ireland,6.3,4.3,6,8
DK,Denmark,5.8,6.2,7,16
BE,Belgium,5.7,5.7,8,15
AT,Austria,5.3,5.2,10,12
DE,Germany,5.3,3.4,10,4
LT,Lithuania,5.3,7.1,10,21
MT,Malta,5.2,3.2,12.5,3
PT,Portugal,5.2,6.5,12.5,18.5
CY,Cyprus,5,4.9,14.5,10
HR,Croatia,5,5,14.5,11
LV,Latvia,4.9,6.9,16,20
FR,France,4.8,7.4,17,22
ES,Spain,4.7,11.4,18,27
BG,Bulgaria,4.6,4.2,19.5,7
SK,Slovakia,4.6,5.3,19.5,13
CZ,Czechia,4.5,2.6,22,1
HU,Hungary,4.5,4.5,22,9
PL,Poland,4.5,2.9,22,2
SI,Slovenia,4.3,3.7,24,5.5
IT,Italy,4,6.5,25,18.5
RO,Romania,2.8,5.4,26,14
EL,Greece,2.5,10.1,27,26
