geo,geo_name,ict_share_pc_emp,unemp_rate_pc_act,vacancy_rate_J,ict_rank,vacancy_J_rank
SE,Sweden,8.6,8.4,4.2,1,7
LU,Luxembourg,8,6.4,2.5,2,20.5
FI,Finland,7.8,8.4,3.6,3,10
EE,Estonia,7.2,7.6,2.7,4,18.5
NL,Netherlands,7,3.7,6.4,5,2
IE,Ireland,6.3,4.3,1.4,6,25
DK,Denmark,5.8,6.2,3.6,7,10
BE,Belgium,5.7,5.7,6.9,8.5,1
CH,Switzerland,5.7,4.4,2.9,8.5,16.5
NO,Norway,5.5,4,4.5,10,6
AT,Austria,5.3,5.2,5.3,12,3
DE,Germany,5.3,3.4,4.6,12,5
LT,Lithuania,5.3,7.1,3,12,14.5
MT,Malta,5.2,3.2,5.2,14.5,4
PT,Portugal,5.2,6.5,4,14.5,8
CY,Cyprus,5,4.9,3.3,16.5,12
HR,Croatia,5,5,0.5,16.5,30
LV,Latvia,4.9,6.9,3.6,18,10
FR,France,4.8,7.4,3,19,14.5
ES,Spain,4.7,11.4,1.6,20,24
BG,Bulgaria,4.6,4.2,0.6,21.5,29
SK,Slovakia,4.6,5.3,0.7,21.5,28
CZ,Czechia,4.5,2.6,3.2,24,13
HU,Hungary,4.5,4.5,2.7,24,18.5
PL,Poland,4.5,2.9,2.4,24,22.5
SI,Slovenia,4.3,3.7,2.5,26,20.5
IS,Iceland,4.2,3.6,2.9,27,16.5
IT,Italy,4,6.5,2.4,28,22.5
RO,Romania,2.8,5.4,1,29,27
EL,Greece,2.5,10.1,1.2,30,26
