geo,geo_name,year,is_eu27,ict_share_pc_emp,ict_employed_ths,unemp_rate_pc_act,grads_ict_tertiary,grads_eng_tertiary,wbl_exposure_share,median_hourly_earnings_eur
AT,Austria,2014,TRUE,3.6,149,6,3651,17343,NA,14.02
AT,Austria,2015,TRUE,4,167,6.1,3358,16450,NA,NA
AT,Austria,2016,TRUE,4.2,179,6.5,3378,17088,NA,NA
AT,Austria,2017,TRUE,4.4,188,5.9,3342,17057,NA,NA
AT,Austria,2018,TRUE,4.5,192,5.2,3696,17330,NA,15.27
AT,Austria,2019,TRUE,4.3,185,4.8,3790,17774,NA,NA
AT,Austria,2020,TRUE,4.5,194,6,3893,18461,NA,NA
AT,Austria,2021,TRUE,4.5,192,6.2,4331,17987,91.8,NA
AT,Austria,2022,TRUE,5,221,4.8,4493,16900,89.8,17.65
AT,Austria,2023,TRUE,5.3,237,5.1,4992,17063,91.2,NA
AT,Austria,2024,TRUE,5.3,237,5.2,NA,NA,84.7,NA
BE,Belgium,2014,TRUE,4.2,192,8.7,1947,13776,NA,17.32
BE,Belgium,2015,TRUE,4.2,188,8.7,1408,13818,NA,NA
BE,Belgium,2016,TRUE,4.2,194,7.9,2252,14995,NA,NA
BE,Belgium,2017,TRUE,4.9,229,7.2,2553,14199,NA,NA
BE,Belgium,2018,TRUE,5.2,245,6,2858,14279,NA,17.97
BE,Belgium,2019,TRUE,5,239,5.5,2858,14442,NA,NA
BE,Belgium,2020,TRUE,5,241,5.8,3137,16087,NA,NA
BE,Belgium,2021,TRUE,5.6,272,6.3,3914,15803,45.1,NA
BE,Belgium,2022,TRUE,5.6,278,5.6,4042,15321,49,23.84
BE,Belgium,2023,TRUE,5.4,273,5.5,4201,16277,44.8,NA
BE,Belgium,2024,TRUE,5.7,288,5.7,NA,NA,48.8,NA
BG,Bulgaria,2014,TRUE,2.5,74,12.4,1702,9078,NA,1.67
BG,Bulgaria,2015,TRUE,2.9,88,10.1,1957,8788,NA,NA
BG,Bulgaria,2016,TRUE,3,92,8.6,1733,8065,NA,NA
BG,Bulgaria,2017,TRUE,3.1,96,7.2,2127,7652,NA,NA
BG,Bulgaria,2018,TRUE,3.3,104,6.2,2055,6760,NA,2.4
BG,Bulgaria,2019,TRUE,3,93,5.2,2084,6499,NA,NA
BG,Bulgaria,2020,TRUE,3.3,96,6.1,2147,5539,NA,NA
BG,Bulgaria,2021,TRUE,3.5,100,5.2,2335,5829,NA,NA
BG,Bulgaria,2022,TRUE,3.8,111,4.2,2348,5680,NA,4.05
BG,Bulgaria,2023,TRUE,4.3,126,4.3,2206,5440,NA,NA
BG,Bulgaria,2024,TRUE,4.6,135,4.2,NA,NA,NA,NA
CH,Switzerland,2014,FALSE,4.8,214,4.9,1952,NA,NA,29.46
CH,Switzerland,2015,FALSE,4.8,215,4.8,3144,13780,NA,NA
CH,Switzerland,2016,FALSE,5,227,5,3257,14289,NA,NA
CH,Switzerland,2017,FALSE,4.8,223,4.8,3546,14574,NA,NA
CH,Switzerland,2018,FALSE,5,234,4.7,3652,14668,NA,31.44
CH,Switzerland,2019,FALSE,5.5,256,4.4,4027,15185,NA,NA
CH,Switzerland,2020,FALSE,5.4,254,4.8,4237,14608,NA,NA
CH,Switzerland,2021,FALSE,5.5,256,5.1,4892,15715,98.1,NA
CH,Switzerland,2022,FALSE,5.7,269,4.1,5146,15666,97,37.64
CH,Switzerland,2023,FALSE,5.7,272,4.1,5714,15732,95.8,NA
CH,Switzerland,2024,FALSE,5.7,275,4.4,NA,NA,96,NA
CY,Cyprus,2014,TRUE,2.8,10,16.1,273,832,NA,8.35
CY,Cyprus,2015,TRUE,2.7,10,15,245,901,NA,NA
CY,Cyprus,2016,TRUE,2.7,10,13,214,875,NA,NA
CY,Cyprus,2017,TRUE,2.9,11,11.1,276,912,NA,NA
CY,Cyprus,2018,TRUE,3.2,13,8.4,241,937,NA,8.39
CY,Cyprus,2019,TRUE,2.7,12,7.2,311,839,NA,NA
CY,Cyprus,2020,TRUE,3.2,14,7.6,291,829,NA,NA
CY,Cyprus,2021,TRUE,3.9,17,7.2,374,824,33.2,NA
CY,Cyprus,2022,TRUE,4.4,20,6.3,341,845,42.6,9.31
CY,Cyprus,2023,TRUE,5.6,27,5.8,391,816,35.2,NA
CY,Cyprus,2024,TRUE,5,24,4.9,NA,NA,NA,NA
CZ,Czechia,2014,TRUE,3.7,185,6.1,4440,13654,NA,4.56
CZ,Czechia,2015,TRUE,3.5,177,5.1,3848,14220,NA,NA
CZ,Czechia,2016,TRUE,3.7,189,4,3648,13485,NA,NA
CZ,Czechia,2017,TRUE,3.6,189,2.9,3964,12573,NA,NA
CZ,Czechia,2018,TRUE,4,212,2.2,3761,11778,NA,6.17
CZ,Czechia,2019,TRUE,4,214,2,3662,10962,NA,NA
CZ,Czechia,2020,TRUE,4.2,220,2.6,3630,10533,NA,NA
CZ,Czechia,2021,TRUE,4.6,241,2.8,3720,9429,21.2,NA
CZ,Czechia,2022,TRUE,4.5,233,2.2,3660,8669,18.4,8.23
CZ,Czechia,2023,TRUE,4.3,218,2.6,3986,8305,16.1,NA
CZ,Czechia,2024,TRUE,4.5,235,2.6,NA,NA,13.4,NA
DE,Germany,2014,TRUE,3.6,1418,4.7,22784,111729,NA,15.67
DE,Germany,2015,TRUE,3.7,1466,4.4,24755,121709,NA,NA
DE,Germany,2016,TRUE,3.7,1541,3.9,25350,122668,NA,NA
DE,Germany,2017,TRUE,3.8,1556,3.5,26731,123043,NA,NA
DE,Germany,2018,TRUE,3.9,1623,3.2,27456,120828,NA,17.23
DE,Germany,2019,TRUE,4,1687,2.9,29513,157163,NA,NA
DE,Germany,2020,TRUE,4.7,1934,3.6,29305,139157,NA,NA
DE,Germany,2021,TRUE,4.9,2013,3.6,32699,143103,96.2,NA
DE,Germany,2022,TRUE,5,2099,3.1,34873,143415,94.9,19.39
DE,Germany,2023,TRUE,4.9,2108,3.1,35158,138752,94.3,NA
DE,Germany,2024,TRUE,5.3,2268,3.4,NA,NA,94.5,NA
DK,Denmark,2014,TRUE,4.6,121,6.9,3080,8814,NA,25.52
DK,Denmark,2015,TRUE,4.5,122,6.3,3246,8791,NA,NA
DK,Denmark,2016,TRUE,4.9,134,6,3865,9773,NA,NA
DK,Denmark,2017,TRUE,5,139,5.8,3929,9950,NA,NA
DK,Denmark,2018,TRUE,4.9,140,5.1,3880,10818,NA,27.24
DK,Denmark,2019,TRUE,5.1,148,5,4061,10910,NA,NA
DK,Denmark,2020,TRUE,5.3,152,5.6,4364,11046,NA,NA
DK,Denmark,2021,TRUE,5.6,162,5.1,4804,11726,NA,NA
DK,Denmark,2022,TRUE,5.7,171,4.5,4549,11733,65.3,29.83
DK,Denmark,2023,TRUE,5.9,177,5.1,5089,12483,70.6,NA
DK,Denmark,2024,TRUE,5.8,177,6.2,NA,NA,78.8,NA
EA20,EA20,2014,FALSE,NA,NA,11.7,NA,NA,NA,NA
EA20,EA20,2015,FALSE,NA,NA,11,NA,NA,NA,NA
EA20,EA20,2016,FALSE,NA,NA,10.1,NA,NA,NA,NA
EA20,EA20,2017,FALSE,NA,NA,9.1,NA,NA,NA,NA
EA20,EA20,2018,FALSE,NA,NA,8.2,NA,NA,NA,NA
EA20,EA20,2019,FALSE,NA,NA,7.6,NA,NA,NA,NA
EA20,EA20,2020,FALSE,NA,NA,8,NA,NA,NA,NA
EA20,EA20,2021,FALSE,NA,NA,7.8,NA,NA,73,NA
EA20,EA20,2022,FALSE,NA,NA,6.8,NA,NA,72.4,16.15
EA20,EA20,2023,FALSE,NA,NA,6.6,NA,NA,72.7,NA
EA20,EA20,2024,FALSE,NA,NA,6.4,NA,NA,73.7,NA
EE,Estonia,2014,TRUE,3.9,24,7.3,530,1507,NA,4.91
EE,Estonia,2015,TRUE,4.2,26,6.4,516,1517,NA,NA
EE,Estonia,2016,TRUE,5.1,33,6.8,651,1456,NA,NA
EE,Estonia,2017,TRUE,5.3,34,5.8,713,1432,NA,NA
EE,Estonia,2018,TRUE,5.4,36,5.4,604,1338,NA,6.52
EE,Estonia,2019,TRUE,5.8,38,4.5,718,1222,NA,NA
EE,Estonia,2020,TRUE,6.2,40,6.9,766,1181,NA,NA
EE,Estonia,2021,TRUE,6.2,40,6.2,975,1216,73.5,NA
EE,Estonia,2022,TRUE,6.6,44,5.6,847,1050,78.9,9.38
EE,Estonia,2023,TRUE,6.7,46,6.4,793,994,83.7,NA
EE,Estonia,2024,TRUE,7.2,51,7.6,NA,NA,79.8,NA
EL,Greece,2014,TRUE,1.7,60,26.6,2940,12168,NA,8
EL,Greece,2015,TRUE,1.6,57,25,2229,12050,NA,NA
EL,Greece,2016,TRUE,1.8,66,23.9,2516,11584,NA,NA
EL,Greece,2017,TRUE,2,76,21.8,2255,11694,NA,NA
EL,Greece,2018,TRUE,2.2,84,19.7,2428,11314,NA,7
EL,Greece,2019,TRUE,2,79,17.9,2665,10657,NA,NA
EL,Greece,2020,TRUE,2,79,17.6,2704,10027,NA,NA
EL,Greece,2021,TRUE,2.4,93,14.7,3203,11926,18.6,NA
EL,Greece,2022,TRUE,2.5,103,12.5,3392,12310,35.7,8
EL,Greece,2023,TRUE,2.4,100,11.1,3532,14036,35.4,NA
EL,Greece,2024,TRUE,2.5,107,10.1,NA,NA,15,NA
ES,Spain,2014,TRUE,3.2,562,24.5,17544,69938,NA,9.83
ES,Spain,2015,TRUE,3.2,571,22.1,17345,71720,NA,NA
ES,Spain,2016,TRUE,3.4,616,19.6,16999,65117,NA,NA
ES,Spain,2017,TRUE,3.5,657,17.2,17704,63260,NA,NA
ES,Spain,2018,TRUE,3.6,697,15.3,18088,60633,NA,10.05
ES,Spain,2019,TRUE,3.7,733,14.1,19177,59664,NA,NA
ES,Spain,2020,TRUE,3.9,744,15.5,19551,59574,NA,NA
ES,Spain,2021,TRUE,4.1,805,14.9,25757,64882,95,NA
ES,Spain,2022,TRUE,4.3,880,13,27875,61116,98.6,11.02
ES,Spain,2023,TRUE,4.4,936,12.2,31927,62255,96.7,NA
ES,Spain,2024,TRUE,4.7,1023,11.4,NA,NA,90.8,NA
EU27_2020,EU27_2020,2014,FALSE,3.4,6333,11,120909,643599,NA,12.69
EU27_2020,EU27_2020,2015,FALSE,3.5,6554,10.2,135515,610494,NA,NA
EU27_2020,EU27_2020,2016,FALSE,3.6,6918,9.3,130484,613220,NA,NA
EU27_2020,EU27_2020,2017,FALSE,3.7,7181,8.3,141442,627528,NA,NA
EU27_2020,EU27_2020,2018,FALSE,3.8,7570,7.4,145324,590184,NA,13.18
EU27_2020,EU27_2020,2019,FALSE,4,7880,6.8,190734,679886,NA,NA
EU27_2020,EU27_2020,2020,FALSE,4.3,8442,7.2,202042,666219,NA,NA
EU27_2020,EU27_2020,2021,FALSE,4.5,8950,7.1,217747,678623,60.3,NA
EU27_2020,EU27_2020,2022,FALSE,4.6,9396,6.2,233487,669238,60.1,14.91
EU27_2020,EU27_2020,2023,FALSE,4.8,9803,6.1,238889,660540,64.6,NA
EU27_2020,EU27_2020,2024,FALSE,5,10274,5.9,NA,NA,65.2,NA
FI,Finland,2014,TRUE,6.3,153,8.7,3541,9251,NA,17.24
FI,Finland,2015,TRUE,6.4,156,9.4,7568,11477,NA,NA
FI,Finland,2016,TRUE,6.6,161,8.9,7916,11928,NA,NA
FI,Finland,2017,TRUE,6.7,166,8.7,7076,10763,NA,NA
FI,Finland,2018,TRUE,6.7,169,7.5,8130,11475,NA,17.49
FI,Finland,2019,TRUE,6.8,174,6.8,8684,11756,NA,NA
FI,Finland,2020,TRUE,7.6,192,7.7,9524,11694,NA,NA
FI,Finland,2021,TRUE,7.4,188,7.7,9082,11891,85.7,NA
FI,Finland,2022,TRUE,7.6,198,6.8,9490,12001,77.4,19.33
